...1,gene id,...3,Gene,...5
IUUC-Hsa-046997,ENSG00000243335.8,Q9UJ41,KCTD7,Homo sapiens
IUUC-Hsa-046997,ENSG00000243335.8,Q9UJ41, RABGEF1,Homo sapiens
IUUC-Hsa-046997,ENSG00000243335.8,Q9UJ41, RABEX5,Homo sapiens
IUUC-Hsa-046071,ENSG00000118503.14,P21580,TNFAIP3,Homo sapiens
IUUC-Hsa-046071,ENSG00000118503.14,P21580, OTUD7C,Homo sapiens
IUUC-Hsa-046071,ENSG00000118503.14,P21580, A20,Homo sapiens
IUUC-Hsa-045879,ENSG00000092148.12,Q9ULT8,HECTD1,Homo sapiens
IUUC-Hsa-045879,ENSG00000092148.12,Q9ULT8, KIAA1131,Homo sapiens
IUUC-Hsa-046297,ENSG00000092140.14,Q7L622,G2E3,Homo sapiens
IUUC-Hsa-046297,ENSG00000092140.14,Q7L622, KIAA1333,Homo sapiens
IUUC-Hsa-046331,ENSG00000173064.11,Q9Y4D8,HECTD4,Homo sapiens
IUUC-Hsa-046331,ENSG00000173064.11,Q9Y4D8, C12orf51,Homo sapiens
IUUC-Hsa-046331,ENSG00000173064.11,Q9Y4D8, KIAA0614,Homo sapiens
IUUC-Hsa-045941,ENSG00000104517.12,O95071,UBR5,Homo sapiens
IUUC-Hsa-045941,ENSG00000104517.12,O95071, EDD,Homo sapiens
IUUC-Hsa-045941,ENSG00000104517.12,O95071, EDD1,Homo sapiens
IUUC-Hsa-045941,ENSG00000104517.12,O95071, HYD,Homo sapiens
IUUC-Hsa-045941,ENSG00000104517.12,O95071, KIAA0896,Homo sapiens
IUUC-Hsa-046544,ENSG00000123124.13,Q9H0M0,WWP1,Homo sapiens
IUUC-Hsa-046479,ENSG00000069869.15,P46934,NEDD4,Homo sapiens
IUUC-Hsa-046479,ENSG00000069869.15,P46934, KIAA0093,Homo sapiens
IUUC-Hsa-046479,ENSG00000069869.15,P46934, NEDD4-1,Homo sapiens
IUUC-Hsa-046479,ENSG00000069869.15,P46934, PIG53,Homo sapiens
IUUC-Hsa-046516,ENSG00000103657.13,Q15751,HERC1,Homo sapiens
IUUC-Hsa-045660,ENSG00000151148.13,Q7Z3V4,UBE3B,Homo sapiens
IUUC-Hsa-046066,ENSG00000138641.15,Q15034,HERC3,Homo sapiens
IUUC-Hsa-046066,ENSG00000138641.15,Q15034, KIAA0032,Homo sapiens
IUUC-Hsa-045968,ENSG00000049759.17,Q96PU5,NEDD4L,Homo sapiens
IUUC-Hsa-045968,ENSG00000049759.17,Q96PU5, KIAA0439,Homo sapiens
IUUC-Hsa-045968,ENSG00000049759.17,Q96PU5, NEDL3,Homo sapiens
IUUC-Hsa-045727,ENSG00000114062.18,Q05086,UBE3A,Homo sapiens
IUUC-Hsa-045727,ENSG00000114062.18,Q05086, E6AP,Homo sapiens
IUUC-Hsa-045727,ENSG00000114062.18,Q05086, EPVE6AP,Homo sapiens
IUUC-Hsa-045727,ENSG00000114062.18,Q05086, HPVE6A,Homo sapiens
IUUC-Hsa-045730,ENSG00000002746.14,Q76N89,HECW1,Homo sapiens
IUUC-Hsa-045730,ENSG00000002746.14,Q76N89, KIAA0322,Homo sapiens
IUUC-Hsa-045730,ENSG00000002746.14,Q76N89, NEDL1,Homo sapiens
IUUC-Hsa-046772,ENSG00000148634.15,Q5GLZ8,HERC4,Homo sapiens
IUUC-Hsa-046772,ENSG00000148634.15,Q5GLZ8, KIAA1593,Homo sapiens
IUUC-Hsa-046562,ENSG00000126107.14,Q5T447,HECTD3,Homo sapiens
IUUC-Hsa-046938,ENSG00000118420.16,Q7Z6J8,UBE3D,Homo sapiens
IUUC-Hsa-046938,ENSG00000118420.16,Q7Z6J8, C6orf157,Homo sapiens
IUUC-Hsa-046938,ENSG00000118420.16,Q7Z6J8, H10BH,Homo sapiens
IUUC-Hsa-046938,ENSG00000118420.16,Q7Z6J8, UBE2CBP,Homo sapiens
IUUC-Hsa-045878,ENSG00000198742.9,Q9HCE7,SMURF1,Homo sapiens
IUUC-Hsa-045878,ENSG00000198742.9,Q9HCE7, KIAA1625,Homo sapiens
IUUC-Hsa-046148,ENSG00000198373.12,O00308,WWP2,Homo sapiens
IUUC-Hsa-046082,ENSG00000119682.16,O15033,AREL1,Homo sapiens
IUUC-Hsa-046082,ENSG00000119682.16,O15033, KIAA0317,Homo sapiens
IUUC-Hsa-045880,ENSG00000009335.17,Q15386,UBE3C,Homo sapiens
IUUC-Hsa-045880,ENSG00000009335.17,Q15386, KIAA0010,Homo sapiens
IUUC-Hsa-045880,ENSG00000009335.17,Q15386, KIAA10,Homo sapiens
IUUC-Hsa-046879,ENSG00000086758.15,Q7Z6Z7,HUWE1,Homo sapiens
IUUC-Hsa-046879,ENSG00000086758.15,Q7Z6Z7, KIAA0312,Homo sapiens
IUUC-Hsa-046879,ENSG00000086758.15,Q7Z6Z7, KIAA1578,Homo sapiens
IUUC-Hsa-046879,ENSG00000086758.15,Q7Z6Z7, UREB1,Homo sapiens
IUUC-Hsa-046879,ENSG00000086758.15,Q7Z6Z7, HSPC272,Homo sapiens
IUUC-Hsa-045786,ENSG00000165338.16,Q5U5R9,HECTD2,Homo sapiens
IUUC-Hsa-046147,ENSG00000153827.13,Q14669,TRIP12,Homo sapiens
IUUC-Hsa-046147,ENSG00000153827.13,Q14669, KIAA0045,Homo sapiens
IUUC-Hsa-046147,ENSG00000153827.13,Q14669, ULF,Homo sapiens
IUUC-Hsa-046342,ENSG00000138646.8,Q9UII4,HERC5,Homo sapiens
IUUC-Hsa-046342,ENSG00000138646.8,Q9UII4, CEB1,Homo sapiens
IUUC-Hsa-046342,ENSG00000138646.8,Q9UII4, CEBP1,Homo sapiens
IUUC-Hsa-046396,ENSG00000138642.14,Q8IVU3,HERC6,Homo sapiens
IUUC-Hsa-045731,ENSG00000085382.11,Q8IYU2,HACE1,Homo sapiens
IUUC-Hsa-045731,ENSG00000085382.11,Q8IYU2, KIAA1320,Homo sapiens
IUUC-Hsa-046564,ENSG00000078747.13,Q96J02,ITCH,Homo sapiens
IUUC-Hsa-046726,ENSG00000108854.15,Q9HAU4,SMURF2,Homo sapiens
IUUC-Hsa-045995,ENSG00000128731.15,O95714,HERC2,Homo sapiens
IUUC-Hsa-046219,ENSG00000138411.10,Q9P2P5,HECW2,Homo sapiens
IUUC-Hsa-046219,ENSG00000138411.10,Q9P2P5, KIAA1301,Homo sapiens
IUUC-Hsa-046219,ENSG00000138411.10,Q9P2P5, NEDL2,Homo sapiens
IUUC-Hsa-046487,ENSG00000276802.2,NA,HERC2,Homo sapiens
IUUC-Hsa-045941,ENSG00000104517.12,O95071,UBR5,Homo sapiens
IUUC-Hsa-045941,ENSG00000104517.12,O95071, EDD,Homo sapiens
IUUC-Hsa-045941,ENSG00000104517.12,O95071, EDD1,Homo sapiens
IUUC-Hsa-045941,ENSG00000104517.12,O95071, HYD,Homo sapiens
IUUC-Hsa-045941,ENSG00000104517.12,O95071, KIAA0896,Homo sapiens
IUUC-Hsa-046955,ENSG00000127481.14,Q5T4S7,UBR4,Homo sapiens
IUUC-Hsa-046955,ENSG00000127481.14,Q5T4S7, KIAA0462,Homo sapiens
IUUC-Hsa-046955,ENSG00000127481.14,Q5T4S7, KIAA1307,Homo sapiens
IUUC-Hsa-046955,ENSG00000127481.14,Q5T4S7, RBAF600,Homo sapiens
IUUC-Hsa-046955,ENSG00000127481.14,Q5T4S7, ZUBR1,Homo sapiens
IUUC-Hsa-046343,ENSG00000024048.10,Q8IWV8,UBR2,Homo sapiens
IUUC-Hsa-046343,ENSG00000024048.10,Q8IWV8, C6orf133,Homo sapiens
IUUC-Hsa-046343,ENSG00000024048.10,Q8IWV8, KIAA0349,Homo sapiens
IUUC-Hsa-046753,ENSG00000159459.11,Q8IWV7,UBR1,Homo sapiens
IUUC-Hsa-046876,ENSG00000034677.12,Q9NV58,RNF19A,Homo sapiens
IUUC-Hsa-046876,ENSG00000034677.12,Q9NV58, RNF19,Homo sapiens
IUUC-Hsa-046941,ENSG00000011275.18,Q9NWF9,RNF216,Homo sapiens
IUUC-Hsa-046941,ENSG00000011275.18,Q9NWF9, TRIAD3,Homo sapiens
IUUC-Hsa-046941,ENSG00000011275.18,Q9NWF9, UBCE7IP1,Homo sapiens
IUUC-Hsa-046941,ENSG00000011275.18,Q9NWF9, ZIN,Homo sapiens
IUUC-Hsa-046887,ENSG00000013561.17,Q9UBS8,RNF14,Homo sapiens
IUUC-Hsa-046887,ENSG00000013561.17,Q9UBS8, ARA54,Homo sapiens
IUUC-Hsa-046887,ENSG00000013561.17,Q9UBS8, HRIHFB2038,Homo sapiens
IUUC-Hsa-045718,ENSG00000166233.13,Q9Y4X5,ARIH1,Homo sapiens
IUUC-Hsa-045718,ENSG00000166233.13,Q9Y4X5, ARI,Homo sapiens
IUUC-Hsa-045718,ENSG00000166233.13,Q9Y4X5, MOP6,Homo sapiens
IUUC-Hsa-045718,ENSG00000166233.13,Q9Y4X5, UBCH7BP,Homo sapiens
IUUC-Hsa-045718,ENSG00000166233.13,Q9Y4X5, HUSSY-27,Homo sapiens
IUUC-Hsa-045958,ENSG00000116514.16,Q6ZMZ0,RNF19B,Homo sapiens
IUUC-Hsa-045958,ENSG00000116514.16,Q6ZMZ0, IBRDC3,Homo sapiens
IUUC-Hsa-045958,ENSG00000116514.16,Q6ZMZ0, NKLAM,Homo sapiens
IUUC-Hsa-046016,ENSG00000185345.18,O60260,PARK2,Homo sapiens
IUUC-Hsa-046016,ENSG00000185345.18,O60260, PRKN,Homo sapiens
IUUC-Hsa-046712,ENSG00000177479.19,O95376,ARIH2,Homo sapiens
IUUC-Hsa-046712,ENSG00000177479.19,O95376, ARI2,Homo sapiens
IUUC-Hsa-046712,ENSG00000177479.19,O95376, TRIAD1,Homo sapiens
IUUC-Hsa-046712,ENSG00000177479.19,O95376, HT005,Homo sapiens
IUUC-Hsa-045738,ENSG00000125826.19,Q9BYM8,RBCK1,Homo sapiens
IUUC-Hsa-045738,ENSG00000125826.19,Q9BYM8, C20orf18,Homo sapiens
IUUC-Hsa-045738,ENSG00000125826.19,Q9BYM8, RNF54,Homo sapiens
IUUC-Hsa-045738,ENSG00000125826.19,Q9BYM8, UBCE7IP3,Homo sapiens
IUUC-Hsa-045738,ENSG00000125826.19,Q9BYM8, XAP3,Homo sapiens
IUUC-Hsa-045738,ENSG00000125826.19,Q9BYM8, XAP4,Homo sapiens
IUUC-Hsa-046269,ENSG00000092098.16,Q96EP0,RNF31,Homo sapiens
IUUC-Hsa-046269,ENSG00000092098.16,Q96EP0, ZIBRA,Homo sapiens
IUUC-Hsa-046269,ENSG00000092098.16,Q96EP0, HOIP,Homo sapiens
IUUC-Hsa-046209,ENSG00000001629.9,Q9P2G1,ANKIB1,Homo sapiens
IUUC-Hsa-046209,ENSG00000001629.9,Q9P2G1, KIAA1386,Homo sapiens
IUUC-Hsa-046928,ENSG00000137393.9,Q7Z419,RNF144B,Homo sapiens
IUUC-Hsa-046928,ENSG00000137393.9,Q7Z419, IBRDC2,Homo sapiens
IUUC-Hsa-046928,ENSG00000137393.9,Q7Z419, P53RFP,Homo sapiens
IUUC-Hsa-046690,ENSG00000112659.13,Q8IWT3,CUL9,Homo sapiens
IUUC-Hsa-046690,ENSG00000112659.13,Q8IWT3, H7AP1,Homo sapiens
IUUC-Hsa-046690,ENSG00000112659.13,Q8IWT3, KIAA0708,Homo sapiens
IUUC-Hsa-046690,ENSG00000112659.13,Q8IWT3, PARC,Homo sapiens
IUUC-Hsa-136376,ENSG00000151692.14,P50876,RNF144A,Homo sapiens
IUUC-Hsa-136376,ENSG00000151692.14,P50876, KIAA0161,Homo sapiens
IUUC-Hsa-136376,ENSG00000151692.14,P50876, RNF144,Homo sapiens
IUUC-Hsa-136376,ENSG00000151692.14,P50876, UBCE7IP4,Homo sapiens
IUUC-Hsa-045703,ENSG00000278644.2,P35227,PCGF2,Homo sapiens
IUUC-Hsa-045703,ENSG00000278644.2,P35227, MEL18,Homo sapiens
IUUC-Hsa-045703,ENSG00000278644.2,P35227, RNF110,Homo sapiens
IUUC-Hsa-045703,ENSG00000278644.2,P35227, ZNF144,Homo sapiens
IUUC-Hsa-046236,ENSG00000276043.4,Q96T88,UHRF1,Homo sapiens
IUUC-Hsa-046236,ENSG00000276043.4,Q96T88, ICBP90,Homo sapiens
IUUC-Hsa-046236,ENSG00000276043.4,Q96T88, NP95,Homo sapiens
IUUC-Hsa-046236,ENSG00000276043.4,Q96T88, RNF106,Homo sapiens
IUUC-Hsa-046155,ENSG00000275618.2,Q9NZS9,BFAR,Homo sapiens
IUUC-Hsa-046155,ENSG00000275618.2,Q9NZS9, BAR,Homo sapiens
IUUC-Hsa-046155,ENSG00000275618.2,Q9NZS9, RNF47,Homo sapiens
IUUC-Hsa-045665,ENSG00000269897.5,P35226,COMMD3-BMI1,Homo sapiens
