,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation
1,A1BG,90.78956271,-0.288764112,0.288147837,-1.002138745,0.316276587,0.478510677,Not Significant
2,A1BG-AS1,74.61721612,-0.429320103,0.309768383,-1.385939065,0.165765511,0.28898306,Not Significant
3,A1CF,0.233140534,-1.183509241,4.991306719,-0.237114108,0.812568268,NA,Not Significant
4,A2M,1490.293204,-0.821945316,0.076269185,-10.7768991,4.43E-27,5.47E-26,Not Significant
5,A2M-AS1,59.49221664,-1.216794854,0.354962111,-3.427957005,0.000608142,0.001965134,Down
6,A2ML1,0.520907153,0.386596123,3.793334225,0.101914596,0.918824465,NA,Not Significant
7,A2MP1,0,NA,NA,NA,NA,NA,Not Significant
8,A3GALT2,0.468512664,0.27385054,3.934927859,0.069594806,0.944516171,NA,Not Significant
9,A4GALT,4107.459546,2.014758944,0.05130326,39.2715575,0,0,Up
10,A4GNT,0.48444408,0.23110302,3.888820875,0.05942753,0.952611586,NA,Not Significant
11,AA06,0,NA,NA,NA,NA,NA,Not Significant
12,AAAS,2191.76955,-0.130434834,0.065749298,-1.983820951,0.047275804,0.100620402,Not Significant
13,AACS,1763.679952,-0.168855247,0.068905412,-2.450536781,0.014264339,0.035025969,Not Significant
14,AACSP1,0,NA,NA,NA,NA,NA,Not Significant
15,AADAC,43.83029776,-0.638359838,0.43496379,-1.467616049,0.142208546,0.255371737,Not Significant
16,AADACL2,0.303698034,1.83787574,4.981553375,0.368936274,0.712175225,NA,Not Significant
17,AADACL2-AS1,0.987188221,-1.251385526,2.757277828,-0.453848181,0.649938103,NA,Not Significant
18,AADACL3,0,NA,NA,NA,NA,NA,Not Significant
19,AADACL4,0,NA,NA,NA,NA,NA,Not Significant
20,AADACP1,87.84894339,-0.577705334,0.299434702,-1.929319913,0.053691159,0.112223861,Not Significant
21,AADAT,111.6698647,-0.262949792,0.251518282,-1.045450016,0.295815031,0.455664789,Not Significant
22,AAGAB,2652.099825,0.111620434,0.057191029,1.951712277,0.050972374,0.107505785,Not Significant
23,AAK1,4085.825436,-0.293432074,0.051715406,-5.673977942,1.40E-08,7.47E-08,Not Significant
24,AAMDC,918.6009972,0.257409792,0.09365931,2.748363117,0.005989364,0.016056737,Not Significant
25,AAMP,4585.696166,0.152237634,0.048157588,3.161238749,0.001570997,0.004722251,Not Significant
26,AANAT,13.47222615,3.158551091,0.877745329,3.598482368,0.00032008,0.001079982,Up
27,AAR2,1919.081282,0.222351755,0.066411397,3.34809632,0.000813687,0.002571203,Not Significant
28,AARD,0,NA,NA,NA,NA,NA,Not Significant
29,AARS1,7319.712177,-0.047091194,0.042518966,-1.107533837,0.268063191,0.423141997,Not Significant
30,AARS2,1014.183113,-0.115722305,0.090083193,-1.284615935,0.198926527,0.335209942,Not Significant
31,AARSD1,559.8417534,-0.036398594,0.116982281,-0.311146213,0.755689471,0.857593464,Not Significant
32,AASDH,465.093332,-0.132882413,0.12637951,-1.051455354,0.293049504,0.452685488,Not Significant
33,AASDHPPT,1901.768183,-0.366725034,0.067989744,-5.393828732,6.90E-08,3.49E-07,Not Significant
34,AASS,1876.109827,-0.154909326,0.066614889,-2.325445981,0.020048125,0.047390131,Not Significant
35,AATBC,50.37654514,-2.054977213,0.418344557,-4.91216434,9.01E-07,4.13E-06,Down
36,AATF,2796.263541,0.06449631,0.056875341,1.133994264,0.256796954,0.409815185,Not Significant
37,AATK,109.8996236,-0.843743552,0.261116251,-3.231294675,0.001232308,0.003772707,Not Significant
38,ABALON,1820.339735,-0.217679336,0.069408568,-3.13620268,0.001711509,0.00510638,Not Significant
39,ABAT,162.2328886,-0.929297401,0.216205678,-4.298209971,1.72E-05,6.88E-05,Not Significant
40,ABCA1,1298.721965,-0.592534138,0.088178883,-6.719682935,1.82E-11,1.20E-10,Not Significant
41,ABCA10,37.32802119,1.1277049,0.445417381,2.531793655,0.011348075,0.028563965,Up
42,ABCA11P,227.6473527,-0.310713426,0.199767069,-1.555378607,0.119855926,0.221883989,Not Significant
43,ABCA12,6.296053498,-1.069254076,1.151243204,-0.928782096,0.353002025,0.519413726,Not Significant
44,ABCA13,6.331205187,0.388343729,1.075591594,0.361051286,0.718061108,0.833079812,Not Significant
