gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene,description,Regulation
ENSMUSG00000063388,236.749418,5.593876277,0.5260899,10.63292847,2.09E-26,3.46E-22,BC023105,cDNA sequence BC023105 [Source:MGI Symbol;Acc:MGI:2384767],Up
ENSMUSG00000029311,1248.953731,-1.521453635,0.155935727,-9.756927837,1.72E-22,1.42E-18,Hsd17b11,hydroxysteroid (17-beta) dehydrogenase 11 [Source:MGI Symbol;Acc:MGI:2149821],Down
ENSMUSG00000028238,85.68444464,5.318681903,0.573455973,9.274786826,1.78E-20,9.79E-17,Atp6v0d2,"ATPase, H+ transporting, lysosomal V0 subunit D2 [Source:MGI Symbol;Acc:MGI:1924415]",Up
ENSMUSG00000022853,502.7312154,-2.573842001,0.282784003,-9.101794907,8.89E-20,3.67E-16,Ehhadh,"enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase [Source:MGI Symbol;Acc:MGI:1277964]",Down
ENSMUSG00000066000,85.91716341,6.461664144,0.715428564,9.031878886,1.69E-19,5.57E-16,Zfp979,zinc finger protein 979 [Source:MGI Symbol;Acc:MGI:2148252],Up
ENSMUSG00000069515,60.0017349,3.460284473,0.390053179,8.871314635,7.23E-19,1.99E-15,Lyz1,lysozyme 1 [Source:MGI Symbol;Acc:MGI:96902],Up
ENSMUSG00000028111,380.6320802,2.151374696,0.251553792,8.552344518,1.21E-17,2.84E-14,Ctsk,cathepsin K [Source:MGI Symbol;Acc:MGI:107823],Up
ENSMUSG00000000805,1203.813271,-1.648705899,0.193888461,-8.503372956,1.84E-17,3.80E-14,Car4,carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574],Down
ENSMUSG00000020889,680.3283602,1.696452726,0.200434067,8.463894147,2.59E-17,4.74E-14,Nr1d1,"nuclear receptor subfamily 1, group D, member 1 [Source:MGI Symbol;Acc:MGI:2444210]",Up
ENSMUSG00000030789,442.8296484,6.440340878,0.762841918,8.442562904,3.10E-17,5.12E-14,Itgax,integrin alpha X [Source:MGI Symbol;Acc:MGI:96609],Up
ENSMUSG00000090942,216.5093742,5.320546359,0.632268591,8.415009749,3.93E-17,5.89E-14,F830016B08Rik,RIKEN cDNA F830016B08 gene [Source:MGI Symbol;Acc:MGI:3588218],Up
ENSMUSG00000072902,82.44905987,-2.275772877,0.294357334,-7.731327239,1.06E-14,1.46E-11,Gm10435,predicted gene 10435 [Source:MGI Symbol;Acc:MGI:3642820],Down
ENSMUSG00000032942,1869.34972,-3.316888235,0.471790401,-7.030427552,2.06E-12,2.61E-09,Ucp3,"uncoupling protein 3 (mitochondrial, proton carrier) [Source:MGI Symbol;Acc:MGI:1099787]",Down
ENSMUSG00000060550,308.2436826,6.720211157,0.960752352,6.994738175,2.66E-12,3.13E-09,H2-Q7,"histocompatibility 2, Q region locus 7 [Source:MGI Symbol;Acc:MGI:95936]",Up
ENSMUSG00000041378,1460.854508,-1.896140204,0.272354866,-6.962020657,3.35E-12,3.69E-09,Cldn5,claudin 5 [Source:MGI Symbol;Acc:MGI:1276112],Down
ENSMUSG00000050335,1337.038485,5.446045475,0.794123702,6.8579309,6.99E-12,7.21E-09,Lgals3,"lectin, galactose binding, soluble 3 [Source:MGI Symbol;Acc:MGI:96778]",Up
ENSMUSG00000028427,980.3564671,-1.94172976,0.283749361,-6.843115884,7.75E-12,7.52E-09,Aqp7,aquaporin 7 [Source:MGI Symbol;Acc:MGI:1314647],Down
ENSMUSG00000095562,727.9219444,2.625775487,0.384439678,6.830136529,8.48E-12,7.78E-09,Gm55594,"predicted gene, 55594 [Source:MGI Symbol;Acc:MGI:6847656]",Up
ENSMUSG00000030889,310.7975599,-1.833343803,0.286750843,-6.393507973,1.62E-10,1.34E-07,Vwa3a,von Willebrand factor A domain containing 3A [Source:MGI Symbol;Acc:MGI:3041229],Down
ENSMUSG00000093938,87.21334578,9.935857612,1.554127771,6.393205111,1.62E-10,1.34E-07,Evi2b,ecotropic viral integration site 2b [Source:MGI Symbol;Acc:MGI:1890682],Up
ENSMUSG00000052776,42.83247986,-7.86747711,1.233504293,-6.378151381,1.79E-10,1.41E-07,Oas1a,2'-5' oligoadenylate synthetase 1A [Source:MGI Symbol;Acc:MGI:2180860],Down
ENSMUSG00000031776,824.3199821,1.618812629,0.261790628,6.183615662,6.26E-10,4.70E-07,Arl2bp,ADP-ribosylation factor-like 2 binding protein [Source:MGI Symbol;Acc:MGI:1349429],Up
ENSMUSG00000032578,764.473268,1.573990305,0.26279339,5.989459261,2.11E-09,1.51E-06,Cish,cytokine inducible SH2-containing protein [Source:MGI Symbol;Acc:MGI:103159],Up
ENSMUSG00000021789,41.58835587,2.731604775,0.457412069,5.971868611,2.35E-09,1.61E-06,Sftpa1,surfactant associated protein A1 [Source:MGI Symbol;Acc:MGI:109518],Up
ENSMUSG00000040809,101.8761048,4.86785404,0.818896596,5.944406243,2.77E-09,1.83E-06,Chil3,chitinase-like 3 [Source:MGI Symbol;Acc:MGI:1330860],Up
ENSMUSG00000026358,44.13315853,3.669255762,0.61968224,5.921189159,3.20E-09,1.98E-06,Rgs1,regulator of G-protein signaling 1 [Source:MGI Symbol;Acc:MGI:1354694],Up
ENSMUSG00000023905,753.853192,1.276204277,0.215605092,5.919175028,3.24E-09,1.98E-06,Tnfrsf12a,"tumor necrosis factor receptor superfamily, member 12a [Source:MGI Symbol;Acc:MGI:1351484]",Up
ENSMUSG00000091345,41.18260444,3.343493827,0.569363273,5.872338429,4.30E-09,2.53E-06,Col6a5,"collagen, type VI, alpha 5 [Source:MGI Symbol;Acc:MGI:3648134]",Up
ENSMUSG00000064359,80.41029228,2.7330552,0.468634557,5.83195405,5.48E-09,3.12E-06,mt-Tg,mitochondrially encoded tRNA glycine [Source:MGI Symbol;Acc:MGI:102486],Up
ENSMUSG00000020017,99.95993608,3.815939941,0.656883061,5.809161734,6.28E-09,3.45E-06,Hal,histidine ammonia lyase [Source:MGI Symbol;Acc:MGI:96010],Up
