Gene_ID,Gene_symbol,Description,T1,T2,T3,C1,C2,C3,FC,log2FC,pValue,FDR,significance
841,CASP8,caspase 8,0.2687,0.5784,0.00012,1.0847,0.9401,0.638,0.318168845,-1.652135521,0.049611248,0.938881762,Down
1282,COL4A1,collagen type IV alpha 1 chain,0.00012,0.00012,0.00012,0.0268,0.0322,0.0248,0.004295943,-7.862809527,0.006254887,0.938881762,Down
2149,F2R,coagulation factor II thrombin receptor,0.2077,0.2358,0.2535,0.6038,0.8467,0.7881,0.311355311,-1.683366205,0.017116746,0.938881762,Down
2339,FNTA,"farnesyltransferase, CAAX box, alpha",1.6251,0.7852,2.6893,3.1827,4.7901,4.2453,0.417380771,-1.260563958,0.031833934,0.938881762,Down
3001,GZMA,granzyme A,0.00012,0.00012,0.00012,7.0874,8.4359,5.8184,1.69E-05,-15.85531867,0.01109808,0.938881762,Down
3832,KIF11,kinesin family member 11,0.1175,0.00012,0.1898,0.59,0.4641,0.3911,0.212717963,-2.232986228,0.009159409,0.938881762,Down
4013,VWA5A,von Willebrand factor A domain containing 5A,0.00012,0.00012,0.00012,1.438,1.7379,1.6121,7.52E-05,-13.69913863,0.002955164,0.938881762,Down
6341,SCO1,synthesis of cytochrome C oxidase 1,1.71,0.9191,0.6727,3.0719,4.4389,6.1378,0.241914922,-2.047428335,0.047563969,0.938881762,Down
8997,KALRN,kalirin RhoGEF kinase,0.00012,0.0358,0.0975,0.1474,0.1202,0.1844,0.295176991,-1.760347826,0.043333329,0.938881762,Down
10025,MED16,mediator complex subunit 16,0.00012,0.00012,0.00012,0.2163,0.2131,0.2756,0.000510638,-10.93541064,0.007402108,0.938881762,Down
10614,HEXIM1,HEXIM P-TEFb complex subunit 1,0.00012,0.6569,0.00012,1.4359,2.3531,1.4447,0.125559356,-2.993558564,0.018457489,0.938881762,Down
11128,POLR3A,RNA polymerase III subunit A,0.8352,0.7245,0.2793,1.3269,1.146,1.7859,0.431811778,-1.2115255,0.034781716,0.938881762,Down
11163,NUDT4,nudix hydrolase 4,1.2385,0.9797,2.5756,3.7904,4.4219,2.785,0.435906995,-1.197907739,0.039589061,0.938881762,Down
11325,DDX42,DEAD-box helicase 42,3.4604,8.4767,8.3815,11.2573,20.4232,18.9167,0.401575581,-1.316256549,0.049615085,0.938881762,Down
23197,FAF2,Fas associated factor family member 2,1.9578,1.2751,2.3442,6.0753,4.7221,3.6247,0.386705126,-1.370694206,0.037064129,0.938881762,Down
51002,TPRKB,TP53RK binding protein,2.324,3.1751,4.2559,8.5003,5.9829,6.7828,0.458713439,-1.124334919,0.016876648,0.938881762,Down
51593,SRRT,"serrate, RNA effector molecule",1.8042,1.6377,1.3385,3.5546,3.6983,3.9609,0.426296171,-1.230071999,0.000320649,0.58029477,Down
54557,SGTB,small glutamine rich tetratricopeptide repeat co-chaperone beta,0.4976,0.3993,0.344,3.6657,4.5038,3.6485,0.105000846,-3.251527141,0.005394789,0.938881762,Down
54751,FBLIM1,filamin binding LIM protein 1,6.4253,3.7726,6.3167,18.9107,16.437,17.4575,0.312745714,-1.67693798,0.000507615,0.734925031,Down
55156,ARMC1,armadillo repeat containing 1,0.549,0.4583,0.5078,1.0711,1.4113,1.2296,0.408162716,-1.292783693,0.012940066,0.938881762,Down
56674,TMEM9B,TMEM9 domain family member B,0.705,0.712,1.1243,1.36,2.0644,1.7931,0.487072353,-1.037792,0.028266856,0.938881762,Down
57019,CIAPIN1,cytokine induced apoptosis inhibitor 1,7.6564,6.3676,8.8423,15.6131,17.1882,18.7582,0.44349344,-1.173015331,0.001461576,0.938881762,Down
