Protein FDR Confidence,Uniprot_ID,Gene_name,Description,Coverage (%),Peptides,Unique Peptides,PSMs,AAs,MW (kDa),calc. pI,Abundance
High,P35579,MYH9,Myosin-9,72,218,186,1285,1960,226.4,5.6,24805464677.9297
High,P35580,MYH10,Myosin-10,56,130,104,388,1976,228.9,5.54,1363305631.3125
High,Q15149,PLEC,Plectin,40,169,162,308,4684,531.5,5.96,534289358.25
High,Q09666,AHNAK,Neuroblast differentiation-associated protein AHNAK,46,139,139,244,5890,628.7,6.15,304542016.625
High,P35527,KRT9,"Keratin, type I cytoskeletal 9",87,59,57,274,623,62.0,5.24,3678116095.39063
High,Q96LD4,TRIM47,E3 ubiquitin-protein ligase TRIM47,58,59,59,747,638,69.5,6.44,34084093811.9688
High,P21333,FLNA,Filamin-A,43,86,79,179,2647,280.6,6.06,514165127.1875
High,P04264,KRT1,"Keratin, type II cytoskeletal 1",67,65,59,340,644,66.0,8.12,13433245713.75
High,Q9UDY2,TJP2,Tight junction protein ZO-2,57,72,71,238,1190,133.9,7.4,2502815804.78906
High,P35908,KRT2,"Keratin, type II cytoskeletal 2 epidermal",85,58,47,223,639,65.4,8.0,3640285380.40625
High,O75369,FLNB,Filamin-B,39,82,75,152,2602,278.0,5.73,281087302.5625
High,Q14152,EIF3A,Eukaryotic translation initiation factor 3 subunit A,44,72,72,200,1382,166.5,6.79,1323448828.42188
High,Q07157,TJP1,Tight junction protein ZO-1,55,69,68,143,1748,195.3,6.7,601827648
High,Q13813,SPTAN1,"Spectrin alpha chain, non-erythrocytic 1",42,82,82,149,2472,284.4,5.35,249119302.875
High,P13645,KRT10,"Keratin, type I cytoskeletal 10",63,51,43,249,584,58.8,5.21,10345150206.4531
High,Q01082,SPTBN1,"Spectrin beta chain, non-erythrocytic 1",39,70,65,131,2364,274.4,5.57,162336338.1875
High,Q14315,FLNC,Filamin-C,33,68,60,118,2725,290.8,5.97,217497675.875
High,P08670,VIM,Vimentin,77,45,43,125,466,53.6,5.12,1138678185.96875
High,P46939,UTRN,Utrophin,24,70,70,122,3433,394.2,5.33,149144763.625
High,P55884,EIF3B,Eukaryotic translation initiation factor 3 subunit B,50,43,43,106,814,92.4,5.0,890133674.3125
High,P02533,KRT14,"Keratin, type I cytoskeletal 14",67,40,17,156,472,51.5,5.16,564212009.359375
High,P49327,FASN,Fatty acid synthase,33,59,59,110,2511,273.3,6.44,192281855.75
High,P60709,ACTB,"Actin, cytoplasmic 1",59,24,7,253,375,41.7,5.48,6510037379.125
High,Q9UPN3,MACF1,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5",13,80,77,127,7388,837.8,5.39,71487384.78125
High,Q63HN8,RNF213,E3 ubiquitin-protein ligase RNF213,16,72,71,117,5207,591.0,6.48,99898749.71875
High,O00571,DDX3X,ATP-dependent RNA helicase DDX3X,55,43,42,235,662,73.2,7.18,3175818824.78125
High,Q86UP2,KTN1,Kinectin,45,50,50,90,1357,156.2,5.64,173238840.5
High,Q14247,CTTN,Src substrate cortactin,49,36,36,79,550,61.5,5.4,528832764.75
High,Q92620,DHX38,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,37,42,42,87,1227,140.4,6.54,243642045.4375
High,P09874,PARP1,Poly [ADP-ribose] polymerase 1,50,40,40,86,1014,113.0,8.88,206514602.8125
High,P13647,KRT5,"Keratin, type II cytoskeletal 5",46,36,21,95,590,62.3,7.74,316146684
High,Q9Y490,TLN1,Talin-1,21,39,39,67,2541,269.6,6.07,86245843.90625
High,O94832,MYO1D,Unconventional myosin-Id,47,47,47,90,1006,116.1,9.39,261758658.09375
High,P49750,YLPM1,YLP motif-containing protein 1,25,40,40,80,2146,241.5,6.55,143927954.875
High,P02538,KRT6A,"Keratin, type II cytoskeletal 6A",50,37,7,93,564,60.0,8.0,349538556.875
