Protein FDR Confidence,Uniprot_ID,Gene_name,Description,Coverage (%),Peptides,Unique Peptides,PSMs,AAs,MW (kDa),calc. pI,Abundance
High,P35579,MYH9,Myosin-9,70,202,171,1168,1960,226.4,5.6,40333342703.0742
High,P35580,MYH10,Myosin-10,54,125,98,344,1976,228.9,5.54,1776285958.375
High,Q15149,PLEC,Plectin,44,184,183,349,4684,531.5,5.96,1169781798.875
High,P04264,KRT1,"Keratin, type II cytoskeletal 1",67,60,54,280,644,66.0,8.12,12629195179.6563
High,P35527,KRT9,"Keratin, type I cytoskeletal 9",84,50,49,166,623,62.0,5.24,3414823113.49219
High,Q9UDY2,TJP2,Tight junction protein ZO-2,58,72,70,218,1190,133.9,7.4,4355867504.48438
High,Q07157,TJP1,Tight junction protein ZO-1,62,79,77,153,1748,195.3,6.7,1557567812.71875
High,Q14152,EIF3A,Eukaryotic translation initiation factor 3 subunit A,57,87,87,283,1382,166.5,6.79,6610715600.61719
High,P21333,FLNA,Filamin-A,42,76,69,146,2647,280.6,6.06,493823189.375
High,P35908,KRT2,"Keratin, type II cytoskeletal 2 epidermal",83,55,45,183,639,65.4,8.0,3936990095.25
High,Q9Y520,PRRC2C,Protein PRRC2C,30,66,64,134,2896,316.7,9.13,714785665.375
High,Q9UPN3,MACF1,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5",17,102,97,163,7388,837.8,5.39,176525095.375
High,P55884,EIF3B,Eukaryotic translation initiation factor 3 subunit B,56,53,53,159,814,92.4,5.0,3821417732.9375
High,P13645,KRT10,"Keratin, type I cytoskeletal 10",58,47,39,191,584,58.8,5.21,10313048682.1406
High,P08670,VIM,Vimentin,80,45,44,153,466,53.6,5.12,3475790880.03125
High,P46821,MAP1B,Microtubule-associated protein 1B,33,56,54,105,2468,270.5,4.81,384424481
High,Q16666,IFI16,Gamma-interferon-inducible protein 16,57,42,42,120,785,88.2,9.28,722440248.875
High,O75533,SF3B1,Splicing factor 3B subunit 1,47,53,53,114,1304,145.7,7.09,430751516.5625
High,P48634,PRRC2A,Protein PRRC2A,40,54,52,116,2157,228.7,9.45,460732380.625
High,O75369,FLNB,Filamin-B,32,65,58,109,2602,278.0,5.73,223404367.875
High,Q86UP2,KTN1,Kinectin,48,57,57,106,1357,156.2,5.64,339736758.5
High,Q92900,UPF1,Regulator of nonsense transcripts 1,47,45,45,102,1129,124.3,6.61,1003962474.375
High,Q9P2E9,RRBP1,Ribosome-binding protein 1,37,43,43,97,1410,152.4,8.6,618183718.125
High,P04275,VWF,von Willebrand factor,17,43,43,111,2813,309.1,5.48,1250121732.5
High,Q04637,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,38,50,45,118,1599,175.4,5.33,1129359484.03906
High,Q92499,DDX1,ATP-dependent RNA helicase DDX1,50,39,39,125,740,82.4,7.23,1715990030.75
High,Q13813,SPTAN1,"Spectrin alpha chain, non-erythrocytic 1",34,63,63,109,2472,284.4,5.35,173474253.875
High,Q99613,EIF3C,Eukaryotic translation initiation factor 3 subunit C,39,36,36,112,913,105.3,5.68,2470185603.39063
High,P52272,HNRNPM,Heterogeneous nuclear ribonucleoprotein M,62,36,36,126,730,77.5,8.7,1152920410.44531
High,P11940,PABPC1,Polyadenylate-binding protein 1,65,40,27,148,636,70.6,9.5,3884719432.0625
High,Q12906,ILF3,Interleukin enhancer-binding factor 3,49,34,34,89,894,95.3,8.76,648599934.875
High,P51114,FXR1,RNA-binding protein FXR1,59,35,31,100,621,69.7,6.15,1456736468.375
High,Q8WWM7,ATXN2L,Ataxin-2-like protein,36,37,37,93,1075,113.3,8.59,1333854875.8125
High,P98175,RBM10,RNA-binding protein 10,47,39,37,83,930,103.5,5.97,579900466.375
High,Q01082,SPTBN1,"Spectrin beta chain, non-erythrocytic 1",32,56,56,90,2364,274.4,5.57,148305044.125
High,O00571,DDX3X,ATP-dependent RNA helicase DDX3X,49,41,40,217,662,73.2,7.18,5721162047.0625
High,P49750,YLPM1,YLP motif-containing protein 1,30,45,45,83,2146,241.5,6.55,362139217.875
High,Q14247,CTTN,Src substrate cortactin,49,35,35,76,550,61.5,5.4,1598846509.25
High,Q14764,MVP,Major vault protein,52,39,39,88,893,99.3,5.48,1108811154.25
High,Q92620,DHX38,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,35,39,39,88,1227,140.4,6.54,531056704.5625
High,P02533,KRT14,"Keratin, type I cytoskeletal 14",58,35,14,115,472,51.5,5.16,654128920.375
High,P23246,SFPQ,"Splicing factor, proline- and glutamine-rich",48,32,31,116,707,76.1,9.44,2702039548.9375
High,Q08211,DHX9,ATP-dependent RNA helicase A,36,39,39,97,1270,140.9,6.84,1438534264.0625
High,P60709,ACTB,"Actin, cytoplasmic 1",61,25,8,209,375,41.7,5.48,8884597035.625
High,P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1,39,55,54,94,1657,189.1,6.48,284184072.3125
High,Q9HCE1,MOV10,Helicase MOV-10,46,43,43,91,1003,113.6,8.82,748156734.375
High,Q6P2Q9,PRPF8,Pre-mRNA-processing-splicing factor 8,34,65,65,107,2335,273.4,8.84,262910787.125
High,P53621,COPA,Coatomer subunit alpha,39,47,47,90,1224,138.3,7.66,557102607.8125
High,Q13310,PABPC4,Polyadenylate-binding protein 4,48,37,23,106,644,70.7,9.26,947969770.125
High,O43707,ACTN4,Alpha-actinin-4,48,36,26,70,911,104.8,5.44,335621774.625
High,Q15393,SF3B3,Splicing factor 3B subunit 3,36,39,39,84,1217,135.5,5.26,413639858.6875
High,Q9UN86,G3BP2,Ras GTPase-activating protein-binding protein 2,55,25,24,99,482,54.1,5.55,1650992239.75
High,Q13283,G3BP1,Ras GTPase-activating protein-binding protein 1,62,23,22,107,466,52.1,5.52,1779659220.75
